Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-2,7/3/2017 15:45,19.52,14.92,95.8,32.5
BTU-1,7/3/2017 15:40,18.02,14.77,112.5,26.9
BTU-2,7/3/2017 15:40,19.62,14.99,98,33.5
BTU-1,7/3/2017 15:35,18.2,14.88,110.4,27.1
BTU-2,7/3/2017 15:35,19.81,15.05,96.6,33.9
BTU-1,7/3/2017 15:30,18.48,15.14,107.9,26.6
BTU-2,7/3/2017 15:30,19.98,15.23,93.8,32.9
BTU-1,7/3/2017 15:25,18.61,15.24,103.5,25.7
BTU-2,7/3/2017 15:25,19.95,15.44,90,30
BTU-1,7/3/2017 15:20,18.59,15.11,101.5,26
BTU-2,7/3/2017 15:20,19.99,15.19,86.5,30.6
BTU-1,7/3/2017 15:15,18.7,15.11,98,26
BTU-2,7/3/2017 15:15,20.04,15.19,85.5,30.6
BTU-1,7/3/2017 15:10,18.75,15.29,99.3,25.3
BTU-2,7/3/2017 15:10,19.75,15.42,85.9,27.4
BTU-1,7/3/2017 15:05,18.18,15.09,99,22.5
BTU-2,7/3/2017 15:05,19.26,15.25,86.2,25.5
BTU-1,7/3/2017 15:00,17.52,14.51,116.8,25.9
BTU-2,7/3/2017 15:00,18.79,14.57,100.6,31.4
BTU-1,7/3/2017 14:55,17.28,14.2,118.8,27
BTU-2,7/3/2017 14:55,18.56,14.51,101.6,30.3
BTU-1,7/3/2017 14:50,16.62,13.74,114.4,24.3
BTU-2,7/3/2017 14:50,18.16,13.87,103,32.6
BTU-1,7/3/2017 14:45,16.86,13.43,121.4,30.7
BTU-2,7/3/2017 14:45,18.33,13.17,106.3,40.5
BTU-1,7/3/2017 14:40,16.92,13.49,122.5,31
BTU-2,7/3/2017 14:40,18.64,13.29,107.8,42.5
BTU-1,7/3/2017 14:35,17.35,13.69,124.1,33.5
BTU-2,7/3/2017 14:35,19.14,13.64,107.3,43.5
BTU-1,7/3/2017 14:30,17.78,14.14,124,33.3
BTU-2,7/3/2017 14:30,19.56,14.04,106.8,43.5
BTU-1,7/3/2017 14:25,17.98,14.11,121.9,34.8
BTU-2,7/3/2017 14:25,20.24,14.6,106.4,44.2
BTU-1,7/3/2017 14:20,19.2,15.73,121.8,31.1
BTU-2,7/3/2017 14:20,20.91,15.57,106,41.8
BTU-1,7/3/2017 14:15,19.54,16.07,122.3,31.4
BTU-2,7/3/2017 14:15,21.3,16.26,106.6,39.6
BTU-1,7/3/2017 14:10,20.07,16.7,124.5,30.9
BTU-2,7/3/2017 14:10,21.46,17.01,107,35.1
BTU-1,7/3/2017 14:05,20.19,17.2,121.7,26.7
BTU-2,7/3/2017 14:05,21.44,17.03,107.4,34.9
BTU-1,7/3/2017 14:00,20.27,17.23,122,27.3
BTU-2,7/3/2017 14:00,21.79,17.04,106.5,37.2
BTU-1,7/3/2017 13:55,21.18,17.24,122.7,35.7
BTU-2,7/3/2017 13:55,22.57,17.52,106.3,39.6
BTU-1,7/3/2017 13:50,21.49,18.76,122.3,24.6
BTU-2,7/3/2017 13:50,22.16,18.85,108.4,26.4
BTU-1,7/3/2017 13:45,20.66,18.45,132.3,21.5
BTU-2,7/3/2017 13:45,21.91,17.57,115.1,36.8
BTU-1,7/3/2017 13:40,21.61,16.68,94.2,34.3
BTU-2,7/3/2017 13:40,22.14,16.45,82.8,34.7
BTU-1,7/3/2017 13:35,21.4,17.35,95.1,28.4
BTU-2,7/3/2017 13:35,22.62,17.12,84.4,34.2
BTU-1,7/3/2017 13:30,22.39,18.74,122.1,32.9
BTU-2,7/3/2017 13:30,23.27,18.59,105,36.2
BTU-1,7/3/2017 13:25,21.61,20.07,120.6,13.6
BTU-2,7/3/2017 13:25,21.78,19.87,105.6,14.8
BTU-1,7/3/2017 13:20,20.31,17.85,111.9,20.3
BTU-2,7/3/2017 13:20,21.24,17.54,96,26.2
BTU-1,7/3/2017 13:15,19.94,16.65,112.5,27.3
BTU-2,7/3/2017 13:15,21.18,16.67,96.4,32
BTU-1,7/3/2017 13:10,19.86,16.54,112.4,27.5
BTU-2,7/3/2017 13:10,21.21,16.6,98.6,33.5
BTU-1,7/3/2017 13:05,19.87,16.52,113.5,28.1
BTU-2,7/3/2017 13:05,21.18,16.61,97.3,32.8
BTU-1,7/3/2017 13:00,19.89,16.53,110.5,27.4
BTU-2,7/3/2017 13:00,21.16,16.62,96.8,32.4
BTU-1,7/3/2017 12:55,19.82,16.5,109.6,26.8
BTU-2,7/3/2017 12:55,21.14,16.58,96.3,32.4
BTU-1,7/3/2017 12:50,19.82,16.46,111.9,27.6
BTU-2,7/3/2017 12:50,21.15,16.53,96.8,33
BTU-1,7/3/2017 12:45,19.83,16.5,111.4,27.3
BTU-2,7/3/2017 12:45,21.07,16.53,97.2,32.5
BTU-1,7/3/2017 12:40,19.7,16.4,109.7,26.7
BTU-2,7/3/2017 12:40,20.99,16.46,95.8,31.9
BTU-1,7/3/2017 12:35,19.65,16.31,112.4,27.7
BTU-2,7/3/2017 12:35,20.95,16.37,97.1,32.8
BTU-1,7/3/2017 12:30,19.59,16.26,113.8,27.9
BTU-2,7/3/2017 12:30,20.92,16.31,96.6,32.8
